t	ca_exp	cb_exp	cc_exp
0	0.89606	0	0
2	0.70478	2.969	336.04
4	0.51757	5.5807	264.59
6	0.63263	6.9731	330.36
8	0.80145	10.321	343.77
10	0.89391	12.481	454.59
12	1.1302	13.136	417.29
14	1.3284	16.323	730.85
16	1.4966	26.459	792.3
18	2.2086	32.065	971.36
20	2.9184	38.612	1288.4
22	3.3913	37.738	1694.5
24	3.9022	55.089	2045.7
26	4.8621	62.05	2170.6
28	5.7752	72.11	2186.7
30	7.6918	97.103	3520.9
32	7.7543	120.68	3954.8
34	11.211	141.83	5068.1
36	14.138	139.88	6741.5
38	14.236	202.79	6750.4
40	18.282	221.55	6681.6
42	18.151	286.43	8752.2
44	22.578	275.05	11749
46	25.196	243.61	12270
48	24.014	349.69	13353
50	36.992	360.6	15793
52	32.633	451.74	17993
54	37.303	356.89	17362
56	33.119	439.38	19946
58	43.533	437.75	21500
60	42.114	442.18	21554
62	41.859	454.08	22786
64	42.298	408.24	19659
66	46.402	468.74	18622
68	46.734	421.7	21530
70	43.225	472.13	20876
72	38.563	431.6	19909
74	36.762	472.75	22527
76	39.658	390.93	24778
78	36.092	483.61	23005
80	46.897	485.08	24482
82	50.464	498.49	24914
84	51.545	322.65	21633
86	41.358	437.07	25113
88	35.957	413.74	24180
90	44.484	444.27	17817
92	36.524	492.11	22486
94	43.519	396.78	24415
96	50.947	376.34	20715
98	33.353	463.53	19829
100	42.177	324.21	21439
